,0,1,2,3,4
31,31,May,The Magnificent Nine,1.37,SHOCHIKU
32,32,March,Everest -The Summit of the Gods-,1.26,TOHO/ASMIC ACE
33,33,August,Yell for the Blue Sky,1.25,TOHO
34,34,February,The Black Devil and the White Prince,1.23,SHOWGATE
35,34,May,If Cats Disappeared from the World,1.23,TOHO
36,36,April,CHIHAYAFURU Part.2,1.22,TOHO
37,37,Dec.2015,PERSONA NON GRATA,1.21,TOHO
38,37,May,Wolf Girl & Black Prince,1.21,WB
39,39,October,HiGH & LOW THE RED RAIN,1.18,SHOCHIKU
40,40,September,SAMURAI HUSTLE RETURNS,1.16,SHOCHIKU
41,41,October,SOMEONE,1.07,TOHO
42,42,April,Yu-Gi-Oh! THE DARK SIDE OF DIMENSIONS,1.00,TOEI
43,42,June,SADAKO VS. KAYAKO,1.00,KADOKAWA
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,April,Detective Conan: The Crimson Love Letter,6.89,TOHO
2,2,March,"DORAEMON THE MOVIE: ""KACHI-KOCHI"" NOBITA'S GREAT ADVENTURE IN THE ANTARCTIC",4.43,TOHO
3,3,July,GINTAMA,3.84,WB
4,4,July,Pokémon the Movie: I Choose You!,3.55,TOHO
5,5,July,LET ME EAT YOUR PANCREAS,3.52,TOHO
6,6,July,Mary and The Witch's Flower,3.29,TOHO
7,7,Dec.2016,YO-KAI WATCH The Movie: A Whale of Two Worlds,3.26,TOHO
8,8,Feb,SWORD ART ONLINE THE MOVIE -Ordinal Scale-,2.52,ANIPLEX
9,9,July,MUMON,2.52,TOHO
10,10,June,Memoirs of a Murderer,2.41,WB
11,10,August,Sekigahara,2.40,TOHO/ASMIC ACE
12,12,Dec.2016,"Fueled: The Man They Called ""Pirate""",2.37,TOHO
13,13,June,HIRUGAO -Love Affairs in the Afternoon-,2.33,TOHO
14,14,April,TEIICHI -Battle of Supreme High-,1.93,TOHO
15,15,Feb,AIBOU: THE MOVIE IV,1.92,TOEI
16,16,Dec.2016,"My tomorrow,Your yesterday.",1.85,TOHO
17,17,April,Crayon Shinchan the Movie: Invasion!! Alien Shiriri,1.62,TOHO
18,18,August,"FIREWORKS, SHOULD WE SEE IT FROM THE SIDE OR THE BOTTOM?",1.59,TOHO
19,19,October,OUTRAGE CODA,1.59,WB/OFFICE KITANO
20,20,October,MIXED DOUBLES,1.49,TOHO
21,21,January,Kiseki: Sobito of That Day,1.48,TOEI
22,22,September,THE THIRD MURDER,1.46,TOHO/GAGA
23,23,October,Fate/stay night THE MOVIE [Heaven's Feel] I. presage flower,1.45,ANIPLEX
24,24,September,Ajin,1.44,TOHO
25,25,Dec.2016,THE MOLE SONG -Hong Kong Capriccio-,1.43,TOHO
26,26,March,Daytime Shooting Star,1.37,TOHO
27,27,August,HiGH&LOW THE MOVIE 2 END OF SKY,1.34,SHOCHIKU
28,28,November,HiGH&LOW THE MOVIE 3 FINAL MISSION,1.31,SHOCHIKU
29,29,March,"Let's Go, JETS! From Small Town Girls to U.S.Champions?!",1.30,TOHO
30,30,October,Narratage,1.28,TOHO/ASMIC ACE
31,31,November,LAST RECIPE,1.14,TOHO
32,32,May,REMINISCENSE,1.13,TOHO
33,33,July,Tokyo Ghoul,1.10,SHOCHIKU
34,34,September,THE MIRACLES OF THE NAMIYA GENERAL STORE,1.09,KADOKAWA/SHOCHIKU
35,35,March,Kuroko's Basketball The Movie LAST GAME,1.06,SHOCHIKU
36,36,January,HONNOUJI HOTEL,1.01,TOHO
37,36,March,POLICEMAN AND ME,1.01,SHOCHIKU
38,38,October,Psychic Kusuo,1.00,SPE/ASMIC ACE
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,July,CODE BLUE,9.30,TOHO
2,2,April,Detective Conan: Zero the Enforcer,9.18,TOHO
3,3,March,Doraemon The Movie: Nobita's Treasure Island,5.37,TOHO
4,4,June,Shoplifters,4.55,ＧＡＧＡ
5,5,August,GINTAMA 2: RULES ARE MADE TO BE BROKEN,3.70,ＷＢ
6,6,Dec-17,DESTINY: The Tale of Kamakura,3.21,TOHO
7,7,June,One Cut of the Dead,3.12,ASMIC ACE/  ENBU Seminal
8,8,July,Pokémon the Movie: The Power of Us,3.09,TOHO
9,9,August,Killing for the Prosecution,2.96,TOHO
10,10,July,MIRAI,2.88,TOHO
11,11,Dec-17,THE 8-YEAR ENGAGEMENT,2.82,SHOCHIKU
12,12,Dec-17,YO-KAI WATCH Shadowside The Movie: Wrath of the Demon King,2.04,TOHO
13,13,November,Stolen Identity,1.96,TOHO
14,14,April,Crayon Shin-chan the Movie: Bakumori! Kung Fu Boys -Ramen Panic-,1.84,TOHO
15,15,June,Recall,1.74,SHOCHIKU
16,16,March,CHIHAYAFURU Part.3,1.73,TOHO
17,17,August,My Hero Academia: Two Heroes,1.72,TOHO
18,18,August,Legend of the Demon Cat,1.70,TOHO/  ＫＡＤＯＫＡＷＡ
19,19,January,The Crimes That Bind,1.59,TOHO
20,20,September,Café Funiculi Funicula,1.50,TOHO
21,21,May,Laplace’s Witch,1.40,TOHO
22,22,Dec-17,Kamen Rider Heisei Generations FINAL Build & Ex-aid with Legend Rider,1.28,TOEI
23,22,October,Every Day a Good Day,1.28,TOKYO THEATRES /  YOAKE
24,24,October,SAKURA GUARDIAN IN THE NORTH,1.27,TOEI
25,25,March,50 First Kisses,1.26,ＳＰＥ
26,26,June,"My Teacher, My Love",1.23,TOHO
27,27,October,"Hug�IPretty Cure, Futari wa Pretty Cure the Movie",1.15,TOEI
28,28,Dec-17,FULLMETAL ALCHEMIST,1.11,ＷＢ
29,29,February,COLOR ME TRUE,1.02,ＷＢ
30,29,August,Kamen Rider Build The Movie Be The One/ Lupin Ranger vs Pat Ranger en film,1.02,TOEI
31,31,November,THE HOUSE WHERE THE MERMAID SLEEPS,1.00,SHOCHIKU
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,July,Weathering With You,14.06,TOHO
2,2,April,DETECTIVE CONAN THE MOVIE: THE FIST OF BLUE SAPPHIRE,9.37,TOHO
3,3,April,KINGDOM,5.73,TOHO／ＳＰＥ
4,4,August,One Piece： Stampede,5.55,TOEI
5,5,March,Doraemon the Movie: Nobita's Chronicle of the Moon Exploration,5.02,TOHO
6,6,January,Masquerade Hotel,4.64,TOHO
7,7,Dec-18,DRAGON BALL SUPER -BROLY-,4.00,TOEI
8,8,Febuary,Fly me to the Saitama,3.76,TOEI
9,9,September,Hit Me Anyone One More Time,3.64,TOHO
10,10,July,Mewtwo Strikes Back Evolution,2.98,TOHO
11,11,May,THE CONFIDENCEMAN JP,2.97,TOHO
12,12,August,Ossan's Love: Love or Dead,2.65,TOHO
13,13,September,Kaguya-sama : Love Is War,2.24,TOHO
14,14,Febuary,Whistleblower,2.16,TOHO
15,15,April,Crayon Shinchan the Movie: Dangerous Honeymoon -The Lost Daddy-,2.08,TOHO
16,16,July,THE GREAT WAR OF ARCHIMEDES,1.93,TOHO
17,17,June,Utano☆Princesama Maji LOVE Kingdom,1.82,SHOCHIKU
18,18,June,THE FABLE,1.77,SHOCHIKU
19,19,January,Fate/stay night [Heaven's Feel] II. lost butterfly,1.66,ANIPLEX
20,20,Dec-18,Kamen Rider Heisei Generations FOREVER,1.56,TOEI
21,21,January,12 Suicidal Teens,1.55,ＷＢ
22,22,Febuary,CITY HUNTER THE MOVIE: Shinjuku Private Eyes,1.53,ANIPLEX
23,23,May,PROMARE,1.50,TOHO
24,24,November,Sumikkogurashi: Good to be in the corner,1.45,ASMIC ACE
25,25,August,DRAGON QUEST YOUR STORY,1.42,TOHO
26,26,Febuary,Fortuna's Eye,1.37,TOHO
27,27,September,NO LONGER HUMAN,1.32,SHOCHIKU／ASMIC ACE
28,28,January,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,1.30,SHOCHIKU
29,29,October,YO-KAI WATCH The Movie: Friends Forever,1.25,TOHO
30,29,October,HiGH&LOW THE WORST,1.25,SHOCHIKU
31,30,July,Diner,1.24,ＷＢ
32,32,July,「KAMEN RIDER ZIO-O Over Quartzer」と「Kishiryu Sentai Ryusoulger The Movie Time Slip! Kyoryu Panic!!」,1.17,TOEI
33,33,May,AIRCRAFT CARRIER IBUKI,1.16,KINO
34,34,Dec-18,A Banana? At This Time of Night ?,1.14,SHOCHIKU
35,35,Febuary,SNOW FLOWER,1.12,ＷＢ
36,36,August,SAMURAI SHIFTERS,1.11,SHOCHIKU
37,37,March,You Shine in the Moonlight,1.10,TOHO
38,37,November,The 47 Rōnin in Debt,1.10,SHOCHIKU
39,39,Febuary,CODE GEASS Lelouch of the Re;surrection,1.06,SHOWGATE
40,40,October,The Bucket List,1.05,WB
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,October,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,36.55,TOHO/ANIPLEX
2,2,July,"From Today, It's My Turn!!: The Movie",5.37,TOHO
3,3,July,THE CONFIDENCE MAN JP -EPISODE OF THE PRINCESS-,3.84,TOHO
4,4,August,Doraemon the Movie: Nobita's New Dinosaur,3.35,TOHO
5,5,August,STIGMATIZED PROPERTIES,2.34,SHOCHIKU
6,6,August,Threads - Our Tapestry of Love,2.27,TOHO
7,7,September,Violet Evergarden : the Movie,2.13,SHOCHIKU
8,8,January,KAIJI: FINAL GAME,2.06,TOHO
9,9,August,Fate/stay night [Heaven's Feel] Ⅲ. spring song,1.95,ANIPLEX
10,10,Dec-19,My Hero Academia: Heroes rising,1.79,TOHO
11,11,Dec-19,"TORA-SAN, WISH YOU WERE HERE",1.47,SHOCHIKU
12,12,Febuary,HOWLING VILLAGE,1.41,TOEI
13,13,Febuary,Wotakoi: Love is Hard for Otaku,1.34,TOHO
14,14,October,The Voice of Sin,1.22,TOHO
15,15,October,The Asadas,1.21,TOHO
16,16,Febuary,Stolen Identity 2,1.19,TOHO
17,17,September,Crayon Shinchan the Movie: Crash! Rakuga-Kingdom and Almost Four Heroes,1.18,TOHO
18,18,Dec-19,Come Kiss Me at 0:00 AM,1.17,SHOCHIKU
19,19,Dec-19,Lupin III: The First,1.16,TOHO
20,20,Dec-19,Murders at the House of Death,1.09,TOHO
21,21,January,AI Amok,1.00,WB
