,Release Date,Title,Production Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office
74,"May 20, 2016",Hâmonî,,$760,"$23,248","$430,568"
75,"Mar 4, 2016",Bakemono no ko,,"$274,247","$490,643","$49,772,185"
76,"Jan 7, 2016",Crayon Shin-chan: My Moving…,,,,"$1,222,820"
77,"Jan 1, 2016",Omohide poro poro (おもひでぽろぽろ…,,"$14,970","$453,241","$515,317"
78,"Dec 31, 2015",Zuttomaekara sukideshita.: …,,,,"$105,415"
79,"Dec 31, 2015",I am a Hero,,,,"$13,756,682"
80,"Dec 31, 2015",Gamba: Gamba to Nakama-tachi,,,,"$2,795,351"
81,"Dec 31, 2015",Kizumonogatari: I Tekketsu-hen,,,,"$6,324,508"
82,"Dec 31, 2015",PriPara the Movie: Everyone…,,,,"$1,668,644"
83,"Dec 31, 2015",King of Prism by Pretty Rhythm,,,,"$8,708,882"
84,"Dec 31, 2015",Chibi Maruko Chan – A Boy F…,,,,"$3,844,017"
85,"Dec 31, 2015",Ore Monogatari!!,,,,"$6,962,989"
86,"Oct 9, 2015",Boruto: Naruto the Movie,,"$259,028","$259,028","$17,014,551"
87,"Aug 4, 2015",Doragon bôru Z: Fukkatsu no…,,"$1,817,938","$8,008,363","$58,408,363"
88,"Dec 31, 2014",Xi Yang Yang Yu Hui Tai Lia…,,,,"$9,562,725"
89,"Oct 17, 2014",Kaguyahime no monogatari,,"$54,915","$1,506,975","$19,312,701"
90,"Aug 29, 2014",Road to Ninja: Naruto the M…,,,,"$1,071,136"
91,"Jul 18, 2014",K Missing Kings,,,,"$725,702"
92,"Mar 7, 2014",War of the World's Goliath,,"$13,385","$13,385","$13,385"
93,"Feb 21, 2014",Kaze Tachinu,,"$313,751","$5,201,879","$117,924,700"
94,"Jan 18, 2014",Ano hi mita hana no namae w…,,,,
95,"Jan 10, 2014",Evangelion Shin Gekijôban: …,,,,"$57,019,825"
96,"Dec 31, 2013",Kureyon Shinchan: bakauma！ …,,,,"$8,713,735"
97,"Dec 31, 2013",Doragon Bōru Zetto Kami to …,,,,"$38,848,780"
98,"Dec 31, 2013",Meitantei Konan Zekkai no P…,,,,"$29,302,051"
99,"Mar 15, 2013",Kokuriko-zaka Kara,,,"$1,000,878","$49,743,812"
100,"Dec 31, 2012",Eiga Doraemon Nobita to Kis…,,,,
101,"Dec 31, 2012",Xi Yang Yang Yu Hui Tai Lan…,,,,"$25,310,000"
102,"Feb 17, 2012",Kari gurashi no Arietti,"$23,000,000","$6,446,395","$19,192,510","$151,496,097"
103,"Jan 20, 2012",Hagane no renkinjutsushi: M…,,"$119,300","$178,000","$3,934,008"
