,Movie Title,Type,Gross,Release Date
79,one piece 01  one piece,General,16200000.0,2000-04-04 00:00:00
80,oshiri tantei  shiriarty,General,957088.6499999999,2022-03-18 00:00:00
81,pokemon 10  diamond and pearl  dialga tai palkia tai darkrai,General,37650000.0,2007-07-14 00:00:00
82,pokemon 14  best wishes  victini to shiroki eiyuu reishram / pokemon best wishes  victini to kuroki eiyuu zekrom,General,32475000.0,2011-07-16 00:00:00
83,pokemon 18  xy  ring no chou majin fuupa,General,19575000.0,2015-07-18 00:00:00
84,pokemon 23  coco,General,15150000.0,2020-12-25 00:00:00
85,precure 25  hugtto  precure futari wa precure movie  all stars memories,General,8625000.0,2018-10-27 00:00:00
86,seitokai yakuindomo,Late Night,750000.0,2017-07-21 00:00:00
87,shingeki no kyojin recap  gurren no yumiya,Late Night,537600.0,2014-11-22 00:00:00
88,suki ni naru sono shunkan wo.  kokuhaku jikkou iinkai,General,358197.6,2016-12-17 00:00:00
89,sumikko gurashi  aoi tsukiyo no mahou no ko,General,9450000.0,2021-11-05 00:00:00
90,tennis no ouji-sama best games  fuji vs kirihara,Theatrical OVA,132479.1,2019-11-15 00:00:00
91,uchuu kyoudai  0,General,2625000.0,2014-08-09 00:00:00
92,uchuu no hou  elohim-hen,General,5562996.375,2021-10-08 00:00:00
93,saraba uchuu senkan yamato  ai no senshi-tachi,Theatrical OVA,424493.415,2017-06-24 00:00:00
94,saraba uchuu senkan yamato  ai no senshi-tachi,Theatrical OVA,350362.5,2017-10-14 00:00:00
95,saraba uchuu senkan yamato  ai no senshi-tachi,Theatrical OVA,749347.5,2018-01-27 00:00:00
96,saraba uchuu senkan yamato  ai no senshi-tachi,Theatrical OVA,815782.5,2018-11-10 00:00:00
97,uchuu senkan yamato 2202  hasshin-hen,Late Night,842595.75,2017-06-24 00:00:00
98,youjo senki,Late Night,3150000.0,2019-02-08 00:00:00
99,yuuki yuuna wa yuusha de aru  washio sumi no shou  parts 1-3 total ,Late Night,1350000.0,2017-03-18 00:00:00
100,zoku owarimonogatari,Late Night,784412.4,2018-11-10 00:00:00
